location_id,osm_type,osm_id,btcmap_url,name,category,street,housenumber,postcode,city,lat,lon,website,opening_hours,bitcoin_payment_status,status_note_public,last_verified_at,verified_by_count,verification_confidence,bounty_base_sats,bounty_critical_sats,bounty_new_entry_sats,eligible_now,last_check_id,last_updated_at,source_last_update,source_last_update_tag,cooldown_until,cooldown_days_left,eligible_for_check
DE-BE-00019,node,3747274058,https://www.openstreetmap.org/node/3747274058,Keith,bar,Schillerpromenade,2,12049,Berlin,52.4782382,13.4213181,https://www.keithbarberlin.de/,Mo-Su 18:00-03:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-02-16,check_date,2024-05-16,0,yes
DE-BE-00020,node,3937876098,https://www.openstreetmap.org/node/3937876098,Hair Müller,hairdresser,Invalidenstraße,153,10115,Berlin,52.5322911,13.395606,https://www.hairmueller.de/,"PH,Su off; Mo-Fr 08:00-20:00; Sa off",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-04-13,check_date,2024-07-12,0,yes
DE-BE-00021,node,4211986089,https://www.openstreetmap.org/node/4211986089,Subway,fast_food,Postplatz,4c,16761,Hennigsdorf,52.6372706,13.2051209,https://restaurants.subway.com/de/deutschland/bb/hennigsdorf/postplatz-4-4c,"Mo-Fr 09:00-20:00; Sa 10:00-20:00; PH,Su off",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-12-23,check_date,2024-03-22,0,yes
DE-BE-00022,node,4294659989,https://www.openstreetmap.org/node/4294659989,Onkel Philipp's Spielzeugwerkstatt,toys,Choriner Straße,35,10435,Berlin,52.536497,13.410587,http://onkel-philipp.de,Tu-Sa 11:00-18:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-06-11,check_date,2024-09-09,0,yes
DE-BE-00023,node,4755014779,https://www.openstreetmap.org/node/4755014779,Karma Syndikat | psy7.com,clothes,Petersburger Straße,47,10249,Berlin,52.5220576,13.4510816,https://psy7.com/,"Tu,Th 13:00-18:00; PH,Sa-Mo off; We,Fr 13:00-20:00",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-11-05,survey:date,2023-02-03,0,yes
DE-BE-00024,node,4841008105,https://www.openstreetmap.org/node/4841008105,Süssmädchen,jewelry,Fehrbelliner Straße,23,10119,Berlin,52.5335929,13.4036081,,"""Termin & Abholung nach Absprache""",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-10-19,survey:date,2023-01-17,0,yes
DE-BE-00025,node,4965923057,https://www.openstreetmap.org/node/4965923057,Paranoid Internet,advertising_agency,Friedrichstraße,68,10117,Berlin,52.5126351,13.3897599,,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-11-05,survey:date,2023-02-03,0,yes
DE-BE-00026,node,4970428921,https://www.openstreetmap.org/node/4970428921,Atheist Shoes,shoes,,,,Berlin,52.525194,13.402099,https://atheist.shoes/,"Mo 11:00-14:30,15:00-18:30; Tu,We-Fr 11:30-14:30,15:00-19:00; Sa 11:30-18:00; Su, PH off",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-10-19,survey:date,2023-01-17,0,yes
DE-BE-00027,node,7610691602,https://www.openstreetmap.org/node/7610691602,Vater Bar,bar,Weserstraße,202,12047,Berlin,52.4877308,13.4310767,,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-06-03,survey:date,2023-09-01,0,yes
DE-BE-00028,node,8145412017,https://www.openstreetmap.org/node/8145412017,Mein Palo Santo,incense,,,,Berlin,52.5367859,13.4175276,,Th 12:00-19:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
DE-BE-00029,node,8311143284,https://www.openstreetmap.org/node/8311143284,Noku Studio,architect,Leipziger Straße,60,10117,Berlin,52.5111776,13.3958388,,Mo-Fr 09:00-18:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-11-05,survey:date,2023-02-03,0,yes
DE-BE-00030,node,9215009717,https://www.openstreetmap.org/node/9215009717,Chipi Chipi Bombón,ice_cream,Warschauer Straße,12,10243,Berlin,52.5131962,13.4525181,https://www.chipichipibombon.com,"Su-Th 13:00-23:00, Fr,Sa 13:00-24:00",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-05-15,check_date,2024-08-13,0,yes
DE-BE-00031,node,9911287150,https://www.openstreetmap.org/node/9911287150,Legacy,paint,Yorckstraße,53,10965,Berlin,52.4926714,13.3701572,,Mo-Sa 12:00-20:00; PH off,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-11-12,check_date,2023-02-10,0,yes
DE-BE-00032,node,10056802721,https://www.openstreetmap.org/node/10056802721,Satoshi Graphics,art,Altenbraker Straße,12a,12053,Berlin,52.4710594,13.4316893,https://satoshigraphics.com,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-09-28,survey:date,2022-12-27,0,yes
DE-BE-00033,node,10084805955,https://www.openstreetmap.org/node/10084805955,Mood - Café & Spätkauf,cafe,Kollwitzstraße,46,10405,Berlin,52.5342275,13.4161615,https://www.instagram.com/mood.spaeti.cafe/?r=nametag,Mo-Th 8:00-23:00; Fr-Sa 8:00-00:00; Su 09:00-23:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
